message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim3.sim";"1758025205.314756540";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.300066429";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim3.sim";"1758025205.299048098";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.284283796";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim3.sim";"1758025205.283365216";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.268478307";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim3.sim";"1758025205.266732001";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.251833615";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim3.sim";"1758025205.250989108";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.236177120";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.188247651";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.132073388";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.124271251";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim3.sim";"1758025205.124065621";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.116075120";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.108352692";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim3.sim";"1758025205.106660778";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.099902296";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.092415967";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim3.sim";"1758025205.091222073";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.083917156";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim2.sim";"1758025205.080032823";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,112445, y=5,544445])";"30";"turtlesim3.sim";"1758025205.074847230";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.067812135";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,112445, y=5,544445])";"30";"turtlesim2.sim";"1758025205.059861920";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.052674324";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.038481310";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.020449958";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025205.004166757";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025204.988329745";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,120889, y=5,544445])";"30";"turtlesim1.sim";"1758025204.972245469";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11,112445, y=5,544445])";"30";"turtlesim1.sim";"1758025204.955808379";"./src/turtle.cpp:update:288"
